STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/16/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",69,",,0",44,",,0",60,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/17/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",68,",,0",40,",,0",59,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/18/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",75,",,0",52,",,0",67,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/19/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",67,",,0",45,",,0",49,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/20/1970,,,,,0.02,",,0,1800",0,",,0,",0,",,0,",81,",,0",38,",,0",78,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/21/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",84,",,0",43,",,0",60,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/22/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",72,",,0",42,",,0",69,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/23/1970,,,,,0.46,",,0,1800",0,",,0,",0,",,0,",85,",,0",56,",,0",83,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/24/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",82,",,0",54,",,0",79,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/25/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",83,",,0",55,",,0",66,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/26/1970,,,,,0.49,",,0,1800",0,",,0,",0,",,0,",66,",,0",54,",,0",56,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/27/1970,,,,,0.36,",,0,1800",0,",,0,",0,",,0,",65,",,0",54,",,0",64,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/28/1970,,,,,0.06,",,0,1800",0,",,0,",0,",,0,",70,",,0",52,",,0",68,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/29/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",76,",,0",57,",,0",73,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/30/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",75,",,0",50,",,0",69,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,5/1/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",81,",,0",54,",,0",77,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,5/2/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",80,",,0",55,",,0",77,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,5/3/1970,,,,,0,"T,,0,1800",0,",,0,",0,",,0,",77,",,0",51,",,0",52,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,5/4/1970,,,,,0.54,",,0,1800",0,",,0,",0,",,0,",55,",,0",50,",,0",52,",,0,1800"
